Date,Ticker,Close_Price,Bank
2021-05-17,CM.TO,52.83,CIBC
2021-05-17,RY.TO,102.61,Royal Bank
2021-05-17,BNS.TO,61.15,Scotiabank
2021-05-17,TD.TO,71.74,TD Bank
2021-05-18,BMO.TO,100.51,BMO
2021-05-18,CM.TO,52.85,CIBC
2021-05-18,RY.TO,103.32,Royal Bank
2021-05-18,BNS.TO,60.77,Scotiabank
2021-05-18,TD.TO,71.62,TD Bank
2021-05-19,BMO.TO,100.22,BMO
2021-05-19,CM.TO,53.04,CIBC
2021-05-19,RY.TO,103.07,Royal Bank
2021-05-19,BNS.TO,60.56,Scotiabank
2021-05-19,TD.TO,71.1,TD Bank
2021-05-20,BMO.TO,101.15,BMO
2021-05-20,CM.TO,53.26,CIBC
2021-05-20,RY.TO,103.18,Royal Bank
2021-05-20,BNS.TO,60.41,Scotiabank
2021-05-20,TD.TO,71.32,TD Bank
2021-05-21,BMO.TO,101.79,BMO
2021-05-21,CM.TO,53.66,CIBC
2021-05-21,RY.TO,103.6,Royal Bank
2021-05-21,BNS.TO,60.38,Scotiabank
2021-05-21,TD.TO,71.53,TD Bank
2021-05-25,BMO.TO,101.53,BMO
2021-05-25,CM.TO,53.75,CIBC
2021-05-25,RY.TO,103.59,Royal Bank
2021-05-25,BNS.TO,60.79,Scotiabank
2021-05-25,TD.TO,71.53,TD Bank
2021-05-26,BMO.TO,103.02,BMO
2021-05-26,CM.TO,54.36,CIBC
2021-05-26,RY.TO,104.42,Royal Bank
2021-05-26,BNS.TO,61.42,Scotiabank
2021-05-26,TD.TO,72.09,TD Bank
2021-05-27,BMO.TO,103.65,BMO
2021-05-27,CM.TO,55.93,CIBC
2021-05-27,RY.TO,105.72,Royal Bank
2021-05-27,BNS.TO,61.87,Scotiabank
2021-05-27,TD.TO,70.29,TD Bank
2021-05-28,BMO.TO,104.18,BMO
2021-05-28,CM.TO,56.48,CIBC
2021-05-28,RY.TO,105.4,Royal Bank
2021-05-28,BNS.TO,62.13,Scotiabank
2021-05-28,TD.TO,70.68,TD Bank
2021-05-31,BMO.TO,103.66,BMO
2021-05-31,CM.TO,55.78,CIBC
2021-05-31,RY.TO,104.22,Royal Bank
2021-05-31,BNS.TO,62.04,Scotiabank
2021-05-31,TD.TO,70.54,TD Bank
2021-06-01,BMO.TO,105.13,BMO
2021-06-01,CM.TO,57.0,CIBC
2021-06-01,RY.TO,105.59,Royal Bank
2021-06-01,BNS.TO,61.79,Scotiabank
2021-06-01,TD.TO,71.16,TD Bank
2021-06-02,BMO.TO,104.67,BMO
2021-06-02,CM.TO,57.47,CIBC
2021-06-02,RY.TO,105.7,Royal Bank
2021-06-02,BNS.TO,62.55,Scotiabank
2021-06-02,TD.TO,71.1,TD Bank
2021-06-03,BMO.TO,105.61,BMO
2021-06-03,CM.TO,57.6,CIBC
2021-06-03,RY.TO,105.82,Royal Bank
2021-06-03,BNS.TO,62.37,Scotiabank
2021-06-03,TD.TO,71.29,TD Bank
2021-06-04,BMO.TO,105.15,BMO
